kepid,is_planet,orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,mission,pl_name
10811496,0.0,19.89913995,0.010829,0.154046,,,76.3,1.7822,kepler,
10848459,0.0,1.736952453,0.0080792,0.387394,,,505.6,2.40641,kepler,
10854555,1.0,2.525591777,0.0006033,0.024064,,,40.9,1.6545,kepler,Kepler-664 b
10872983,1.0,11.09432054,0.0015175,0.036779,,,66.5,4.5945,kepler,Kepler-228 d
10872983,1.0,4.13443512,0.000686,0.026133,,,40.2,3.1402,kepler,Kepler-228 c
9579641,,3.43591631,2.3199999999999998e-05,0.004612,,,8.7,3.133,kepler,
10872983,1.0,2.56658897,0.0002265,0.014983,,,15.0,2.429,kepler,Kepler-228 b
5436502,1.0,23.65369415,0.0033418000000000002,0.05219,,,266.3,8.2183,kepler,Kepler-238 e
5436502,1.0,13.23352214,0.0005046,0.020278,,,49.1,6.7372,kepler,Kepler-238 d
5436502,1.0,6.15560285,0.000285,0.015336,,,35.1,4.9843,kepler,Kepler-238 c
5436502,1.0,2.090811305,0.00011590000000000001,0.010686,,,19.9,3.388,kepler,Kepler-238 b
5436502,1.0,50.4467417,0.0003703,0.01767,,,19.4,7.159,kepler,Kepler-238 f
9471974,1.0,49.18394185,0.0016462,0.036501,,,355.7,11.3364,kepler,Kepler-108 b
5456651,1.0,11.76307164,0.0010373,0.028519,,,48.9,2.9076,kepler,Kepler-239 b
7907423,1.0,15.36845737,0.0007561,0.02471,,,30.9,2.4714,kepler,Kepler-249 d
7938496,1.0,13.81020318,0.0013097,0.036595,,,46.2,3.048,kepler,Kepler-1730 b
8013419,,12.732624065,0.0064657,0.082519,,,210.5,2.2083,kepler,
8018547,,83.92494032,0.007958699999999999,0.086015,,,182.1,6.7904,kepler,
8039892,1.0,5.007316661,0.006932300000000001,0.077106,,,431.4,4.2362,kepler,Kepler-719 b
5897826,0.0,33.80364366,0.0134944,0.105539,,,529.9,11.4813,kepler,Kepler-469 b
8150320,1.0,2.211116989,0.0007242,0.026289,,,42.6,1.6485,kepler,Kepler-55 d
8561063,1.0,0.453287416,0.0014615,0.046729,,,150.4,0.4445,kepler,Kepler-42 c
8561063,1.0,1.865114193,0.0011248,0.040715,,,56.9,0.4279,kepler,Kepler-42 d
10657664,0.0,3.273699006,0.0068628000000000005,0.08215,,,1293.1,3.07626,kepler,
3337351,0.0,7.047103499,0.071318,0.458805,,,274.9,3.3208,kepler,
3233043,0.0,0.379463865,0.0019733,0.305894,,,458.6,0.86896,kepler,
6579806,0.0,9.88047978,0.018541,0.235723,,,534.5,2.78458,kepler,
3560301,0.0,4.6484156,0.0001284,0.013299,,,91.7,38.1939,kepler,
5880320,1.0,4.75796103,0.0001245,0.010702,,,20.9,4.66,kepler,Kepler-758 c
5880320,1.0,20.4972755,0.0002429,0.018577,,,22.8,8.536,kepler,Kepler-758 d
5880320,1.0,8.19345065,0.0001154,0.010952,,,15.7,5.234,kepler,Kepler-758 e
6037187,1.0,41.8059544,0.0004344,0.019015,,,28.3,6.057,kepler,Kepler-759 b
6147122,0.0,15.45158184,8.53e-05,0.008928,,,21.0,2.406,kepler,
8257407,0.0,89.698168533,0.273106,0.590496,,,3420.3,5.5418,kepler,
4649305,,22.65117451,0.00225,0.052355,,,170.1,3.6895,kepler,
6307521,0.0,475.91706,0.0009672999999999999,0.257403,,,15.3,22.86,kepler,
6359320,1.0,5.32667299,0.0006114,0.022482,,,34.1,3.4045,kepler,Kepler-269 b
6359320,1.0,8.1280933,0.0002241,0.013795,,,10.7,3.727,kepler,Kepler-269 c
3835670,1.0,14.55730897,0.0009569,0.028038,,,200.0,7.7643,kepler,Kepler-473 b
6359320,,2.83668931,0.0001661,0.011852,,,12.1,3.031,kepler,
