orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,is_planet
19.89913995,0.010829,0.154046,,,76.3,1.7822,0.0
1.736952453,0.0080792,0.387394,,,505.6,2.40641,0.0
2.525591777,0.0006033,0.024064,,,40.9,1.6545,1.0
11.09432054,0.0015175,0.036779,,,66.5,4.5945,1.0
4.13443512,0.000686,0.026133,,,40.2,3.1402,1.0
2.56658897,0.0002265,0.014983,,,15.0,2.429,1.0
23.65369415,0.0033418000000000002,0.05219,,,266.3,8.2183,1.0
13.23352214,0.0005046,0.020278,,,49.1,6.7372,1.0
6.15560285,0.000285,0.015336,,,35.1,4.9843,1.0
2.090811305,0.00011590000000000001,0.010686,,,19.9,3.388,1.0
50.4467417,0.0003703,0.01767,,,19.4,7.159,1.0
49.18394185,0.0016462,0.036501,,,355.7,11.3364,1.0
11.76307164,0.0010373,0.028519,,,48.9,2.9076,1.0
15.36845737,0.0007561,0.02471,,,30.9,2.4714,1.0
13.81020318,0.0013097,0.036595,,,46.2,3.048,1.0
5.007316661,0.006932300000000001,0.077106,,,431.4,4.2362,1.0
33.80364366,0.0134944,0.105539,,,529.9,11.4813,0.0
2.211116989,0.0007242,0.026289,,,42.6,1.6485,1.0
0.453287416,0.0014615,0.046729,,,150.4,0.4445,1.0
1.865114193,0.0011248,0.040715,,,56.9,0.4279,1.0
3.273699006,0.0068628000000000005,0.08215,,,1293.1,3.07626,0.0
7.047103499,0.071318,0.458805,,,274.9,3.3208,0.0
0.379463865,0.0019733,0.305894,,,458.6,0.86896,0.0
9.88047978,0.018541,0.235723,,,534.5,2.78458,0.0
4.6484156,0.0001284,0.013299,,,91.7,38.1939,0.0
4.75796103,0.0001245,0.010702,,,20.9,4.66,1.0
20.4972755,0.0002429,0.018577,,,22.8,8.536,1.0
8.19345065,0.0001154,0.010952,,,15.7,5.234,1.0
41.8059544,0.0004344,0.019015,,,28.3,6.057,1.0
15.45158184,8.53e-05,0.008928,,,21.0,2.406,0.0
89.698168533,0.273106,0.590496,,,3420.3,5.5418,0.0
475.91706,0.0009672999999999999,0.257403,,,15.3,22.86,0.0
5.32667299,0.0006114,0.022482,,,34.1,3.4045,1.0
8.1280933,0.0002241,0.013795,,,10.7,3.727,1.0
14.55730897,0.0009569,0.028038,,,200.0,7.7643,1.0
0.974868896,0.0001976,0.012716,,,82.6,1.6191,1.0
4.89721006,0.0002744,0.015988,,,16.9,1.812,1.0
0.796722833,0.00010709999999999999,0.00991,,,43.9,2.4551,0.0
4.24153629,0.0001881,0.012577,,,18.0,2.971,1.0
5.660669429,0.0007377999999999999,0.02533,,,201.1,4.6483,1.0
17.32419108,0.0002413,0.0155,,,49.1,8.045,1.0
33.0063185,0.00027810000000000004,0.015448,,,38.2,7.118,1.0
11.13127159,0.00021119999999999998,0.013138,,,36.8,4.2372,1.0
3.47143963,9.98e-05,0.009818,,,27.5,3.663,0.0
1.031096352,0.0002654,0.020135,,,37.8,2.781,0.0
11.00817635,0.0014625,0.033903,,,42.1,2.013,1.0
92.7495777,0.0011051,0.029388,,,18.0,5.506,1.0
52.5008645,0.0009467000000000001,0.027341,,,116.2,14.9066,1.0
5.80181368,0.00026960000000000005,0.019721,,,35.3,4.119,0.0
0.63133171,0.0004345,0.020758,,,95.8,1.1487,1.0
12.69905011,0.0007974,0.027241,,,30.4,2.9899,1.0
55.6391882,0.000853,0.029803,,,48.3,7.316,1.0
4.59726613,0.000313,0.016167,,,17.0,2.909,1.0
2.633852528,0.0002598,0.014432,,,23.3,2.0206,1.0
6.18670882,0.0002026,0.01265,,,14.3,2.909,1.0
20.34237838,0.0005646000000000001,0.024633,,,28.7,2.3351,1.0
23.58444746,0.00042919999999999997,0.020294,,,42.8,5.5545,1.0
10.1171684,0.00028869999999999997,0.015702,,,50.6,4.6677,1.0
19.12947603,0.00045119999999999996,0.022649,,,31.7,3.9622,1.0
2.171827838,0.042086,0.601913,,,300.6,3.2205,0.0
1.634614356,0.0197615,0.417475,,,376.5,3.4422,0.0
16.025018977,0.02909,12.407403,,,257.8,3.8828,0.0
10.50682978,0.0133555,0.105491,,,343.4,3.7769,1.0
0.711966971,0.0062275,0.367816,,,392.2,2.0221,0.0
15.6402515,0.0008003,0.200775,,,19.3,6.222,0.0
33.1996355,0.0011125,0.029607,,,32.6,5.022,1.0
8.65306587,0.0010481,0.261014,,,43.0,4.486,0.0
94.219289,0.0010259000000000002,0.028332,,,37.6,24.312,0.0
94.225938,0.0005304,0.020742,,,25.4,22.08,0.0
127.8334997,0.0018299000000000002,0.039937,,,76.9,10.914,1.0
10.21864532,0.00044530000000000004,0.019663,,,26.6,3.802,1.0
15.573637,0.00046810000000000005,0.02484,,,24.7,5.326,1.0
40.1015561,0.00055,0.024714,,,19.0,5.246,1.0
5.924993927,0.0016081,0.042444,,,68.5,2.8874,1.0
11.34934848,0.0012498,0.03229,,,41.7,3.1101,1.0
3.13295351,0.0004352,0.018691,,,23.9,2.2207,1.0
18.64349986,0.0008133999999999999,0.028845,,,16.1,1.8491,1.0
24.5434566,0.0011512999999999998,0.031008,,,64.5,7.2518,1.0
13.28689997,0.0010396,0.029278,,,41.3,3.2825,1.0
1.287076693,0.0007294,0.024255,,,65.2,1.4942,1.0
17.6717714,0.0009186,0.032562,,,36.2,3.4202,1.0
23.355341391,0.038524,0.218013,,,1144.3,4.60672,0.0
11.521446064,0.017984299999999998,1.625358,,,622.1,3.6399,0.0
2.696370652,0.00039789999999999997,0.017673,,,48.2,3.6129,0.0
5.349553819,0.000831,0.025706,,,60.6,3.0278,1.0
3.94105221,0.0003633,0.017105,,,28.9,2.5984,1.0
8.10904807,0.0002174,0.013127,,,14.1,3.596,1.0
21.67699193,0.0008572,0.032666,,,34.3,3.4555,1.0
16.06864674,0.0049143,0.062161,,,161.9,3.5347,1.0
41.19725502,0.0022139,0.041693,,,51.2,4.6297,1.0
6.252962249,0.0010369,0.028604,,,47.1,2.5819,1.0
16.01308419,0.0011219000000000001,0.034369,,,33.2,3.2554,1.0
32.62876672,0.0018047999999999999,0.03852,,,80.0,4.7971,1.0
91.7732862,0.000652,0.02432,,,19.1,6.473,1.0
4.959319244,0.009802,0.103379,,,696.5,2.22739,1.0
56.2279271,0.0008627000000000001,0.028683,,,20.9,3.57,1.0
2.384052875,0.0012680999999999999,0.222925,,,50.5,3.0918,0.0
7.953547,0.0008754,0.026448,,,38.4,2.6312,1.0
4.14451656,0.00039180000000000004,0.017441,,,22.8,2.3421,1.0
4.859386384,0.0060443,0.355227,,,269.7,2.2757,0.0
2.446737317,0.0011779000000000002,0.278526,,,110.2,4.7211,0.0
3.04033046,0.0108588,0.104023,,,568.2,1.8411,1.0
27.9541337,0.0009425,0.026973,,,25.4,3.95,1.0
42.1406089,0.0008955,0.026274,,,21.6,5.083,1.0
4.617490562,0.0005757999999999999,0.023024,,,28.1,2.2618,1.0
10.19849255,0.0006341000000000001,0.024778,,,21.4,2.4283,1.0
5.795063956,0.0016929,0.047975,,,119.4,3.2496,0.0
7.15681552,0.000867,0.026979,,,47.7,2.5882,1.0
17.64830851,0.0007633,0.026581,,,23.8,2.0873,1.0
3.024092505,0.007765,0.081878,,,1225.3,2.8021,1.0
17.512014768,0.0045116999999999996,0.110483,,,322.3,1.8248,0.0
3.9886021,0.0006735,0.023067,,,37.1,1.7376,0.0
7.82187328,4.22e-05,0.006005,,,37.2,3.8417,0.0
4.020628573,0.020901,0.150191,,,282.6,4.4085,0.0
185.02288222,0.043546699999999994,0.333723,,,938.2,4.87326,0.0
2.897432135,0.0012237,0.043891,,,73.9,3.1793,0.0
8.70420525,0.0010749000000000002,0.030316,,,74.0,2.9385,1.0
2.46697039,0.00030869999999999997,0.016558,,,29.5,1.6345,1.0
2.757794163,0.039043,0.206038,,,349.2,2.7644,0.0
1.914158508,0.0078292,0.111651,,,124.6,3.2917,0.0
5.251916208,0.0106243,0.390092,,,146.3,4.9095,0.0
100.3039228,0.00545,0.35047,,,63.2,8.702,0.0
200.61103346,,,,,,7.13,0.0
0.986620248,0.0013457999999999999,0.29077,,,117.7,3.9722,0.0
29.6193891,0.0003147,0.016028,,,42.5,4.9595,1.0
6.40087137,0.0001336,0.012298,,,24.4,2.5561,1.0
30.1599411,0.0001759,0.013612,,,32.3,7.874,1.0
51.0771048,0.0001415,0.010971,,,24.1,11.233,1.0
7.388833611,0.0130635,0.116455,,,1509.3,5.62857,0.0
2.698021895,0.0067212,0.397083,,,647.1,23.192,0.0
8.041347775,0.000591,0.02196,,,77.5,2.6332,1.0
37.5142128,0.000935,0.027815,,,28.9,5.303,1.0
1.796320953,0.0002109,0.013229,,,22.1,1.9139,1.0
3.468073,0.0002439,0.014245,,,20.6,2.361,1.0
8.99088621,0.0004697,0.021706,,,93.6,4.2447,1.0
